owner,character,realm,character_realm,avg_ilvl
Bus,Bus,arygos,Bus-arygos,292.44
Bus,Bus,bladefist,Bus-bladefist,292.13
Bus,Bus,Anetheron,Bus-Anetheron,294.31
Bus,Bus,garona,Bus-garona,293.44
Bus,Bus,onyxia,Bus-onyxia,306.69
Bus,Bus,icecrown,Bus-icecrown,293.88
Chicken,Chickenism,Icecrown,Chickenism-Icecrown,310.69
Chicken,Vokerism,Icecrown,Vokerism-Icecrown,291.88
Chicken,Priestism,icecrown,Priestism-icecrown,293.06
Clandon,Clandon,Icecrown,Clandon-Icecrown,309.44
Evac,Evach,Icecrown,Evach-Icecrown,283.44
Evac,Evacdh,Hyjal,Evacdh-Hyjal,288.75
Feen,Greenashen,Stormrage,Greenashen-Stormrage,299.69
Feen,glaeder,tichondrius,glaeder-tichondrius,293.81
Feen,mfeen,Stormrage,mfeen-Stormrage,292.5
Finest,Finesthour,Icecrown,Finesthour-Icecrown,297.5
Garro,Garronan,Icecrown,Garronan-Icecrown,278.63
Ghost,Ghostsham,Lothar,Ghostsham-Lothar,285.06
Ghost,Istariel,Lothar,Istariel-Lothar,293.06
KE,Mutilatee,Icecrown,Mutilatee-Icecrown,311.81
KE,Deevinestorm,Illidan,Deevinestorm-Illidan,279.63
KE,offmeta,Illidan,offmeta-Illidan,284.75
KE,Doomwinds,Icecrown,Doomwinds-Icecrown,290.13
KE,Facemesh,Illidan,Facemesh-Illidan,287.81
Kovu,Kovuker,Ragnaros,Kovuker-Ragnaros,307.44
Kovu,Kovu,Ragnaros,Kovu-Ragnaros,293.81
Kovu,Kovupally,Ragnaros,Kovupally-Ragnaros,292.63
Mochi,Mochikat,Icecrown,Mochikat-Icecrown,304.19
Oregano,Oreganow,Icecrown,Oreganow-Icecrown,310.13
Oregano,Oreganosh,Icecrown,Oreganosh-Icecrown,293.06
Oregano,Oreganodk,Icecrown,Oreganodk-Icecrown,291.13
Oregano,Oreganomk,Icecrown,Oreganomk-Icecrown,293
Oregano,Oreganor,Icecrown,Oreganor-Icecrown,293.13
Oregano,Oreganom,Icecrown,Oreganom-Icecrown,293.19
Pike,Gampshwago,Icecrown,Gampshwago-Icecrown,305.44
Pike,Namswoam,Icecrown,Namswoam-Icecrown,294.31
Pike,Miamiganster,Icecrown,Miamiganster-Icecrown,292.38
Rad,Radel,Icecrown,Radel-Icecrown,304.5
Rad,Radpal,icecrown,Radpal-icecrown,289.94
Rad,Radmonk,Icecrown,Radmonk-Icecrown,290.25
Rad,Raddru,Icecrown,Raddru-Icecrown,294
Rad,Radwar,Icecrown,Radwar-Icecrown,290.81
Rye,Ryeshot,Icecrown,Ryeshot-Icecrown,306.75
Xaidra,Xaidra,Icecrown,Xaidra-Icecrown,301.81
Xaidra,Xaida,Onyxia,Xaida-Onyxia,292.5
Zalea,Zalea,Icecrown,Zalea-Icecrown,300.44
Hitstreak,Horcchata,Tichondrius,Horcchata-Tichondrius,303.19
Phungus,Phungus,Tichondrius,Phungus-Tichondrius,293
Phungus,Phungores,Illidan,Phungores-Illidan,292.19
Phungus,Phungku,Area 52,Phungku-Area 52,293
Gachiwl,Gachiwl,Area 52,Gachiwl-Area 52,
Keattz,Keattz,Lothar,Keattz-Lothar,286.56
Keattz,Keatzz,Lothar,Keatzz-Lothar,293.19
Keattz,Keattzxd,Lothar,Keattzxd-Lothar,292.06
Jordan,Jordh,Bleeding Hollow,Jordh-Bleeding Hollow,305.94
Rice,Ricemachnedk,Lothar,Ricemachnedk-Lothar,292.69
Rice,Djriceboy,Frostmane,Djriceboy-Frostmane,305.56
Rice,Bestricer,Lothar,Bestricer-Lothar,291.88
Rice,Ricemachinex,Lothar,Ricemachinex-Lothar,289.69
Hubble,Hubbles,MalGanis,Hubbles-MalGanis,
Hubble,Hububbles,MalGanis,Hububbles-MalGanis,
Prof,Omegadnc,Area 52,Omegadnc-Area 52,306.25
Prof,Haireater,Area 52,Haireater-Area 52,297.63
